date,campaign_name,impressions,clicks,cost,conversions,revenue
2025-01-12,Social_Ads,15000,450,900000,54,2700000
2025-01-12,Video_Ads,20000,300,750000,34,1700000
2025-01-13,Search_Brand,5200,312,468000,42,2100000
2025-01-13,Search_Generic,8200,246,615000,28,1400000
2025-01-13,Display_Remarketing,12000,180,360000,21,1050000
2025-01-13,Social_Ads,15000,450,900000,54,2700000
2025-01-13,Video_Ads,20000,300,750000,34,1700000
2025-01-14,Search_Brand,5200,312,468000,42,2100000
2025-01-14,Search_Generic,8200,246,615000,28,1400000
2025-01-14,Display_Remarketing,12000,180,360000,21,1050000
2025-01-14,Social_Ads,15000,450,900000,54,2700000
2025-01-14,Video_Ads,20000,300,750000,34,1700000
2025-01-15,Search_Brand,5200,312,468000,42,2100000
2025-01-15,Search_Generic,8200,246,615000,28,1400000
2025-01-15,Display_Remarketing,12000,180,360000,21,1050000
2025-01-15,Social_Ads,15000,450,900000,54,2700000
2025-01-15,Video_Ads,20000,300,750000,34,1700000
2025-01-16,Search_Brand,5200,312,468000,42,2100000
2025-01-16,Search_Generic,8200,246,615000,28,1400000
2025-01-16,Display_Remarketing,12000,180,360000,21,1050000
2025-01-16,Social_Ads,15000,450,900000,54,2700000
2025-01-16,Video_Ads,20000,300,750000,34,1700000
2025-01-17,Search_Brand,5200,312,468000,42,2100000
2025-01-17,Search_Generic,8200,246,615000,28,1400000
2025-01-17,Display_Remarketing,12000,180,360000,21,1050000
2025-01-17,Social_Ads,15000,450,900000,54,2700000
2025-01-17,Video_Ads,20000,300,750000,34,1700000
2025-01-18,Search_Brand,5200,312,468000,42,2100000
2025-01-18,Search_Generic,8200,246,615000,28,1400000
2025-01-18,Display_Remarketing,12000,180,360000,21,1050000
2025-01-18,Social_Ads,15000,450,900000,54,2700000
2025-01-18,Video_Ads,20000,300,750000,34,1700000
2025-01-19,Search_Brand,5200,312,468000,42,2100000
2025-01-19,Search_Generic,8200,246,615000,28,1400000
2025-01-19,Display_Remarketing,12000,180,360000,21,1050000
2025-01-19,Social_Ads,15000,450,900000,54,2700000
2025-01-19,Video_Ads,20000,300,750000,34,1700000
2025-01-20,Search_Brand,5200,312,468000,42,2100000
2025-01-20,Search_Generic,8200,246,615000,28,1400000
2025-01-20,Display_Remarketing,12000,180,360000,21,1050000
2025-01-20,Social_Ads,15000,450,900000,54,2700000
2025-01-20,Video_Ads,20000,300,750000,34,1700000
2025-01-21,Search_Brand,5200,312,468000,42,2100000
2025-01-21,Search_Generic,8200,246,615000,28,1400000
2025-01-21,Display_Remarketing,12000,180,360000,21,1050000
2025-01-21,Social_Ads,15000,450,900000,54,2700000
2025-01-21,Video_Ads,20000,300,750000,34,1700000
2025-01-22,Search_Brand,5200,312,468000,42,2100000
2025-01-22,Search_Generic,8200,246,615000,28,1400000
2025-01-22,Display_Remarketing,12000,180,360000,21,1050000
2025-01-22,Social_Ads,15000,450,900000,54,2700000
2025-01-22,Video_Ads,20000,300,750000,34,1700000
2025-01-23,Search_Brand,5200,312,468000,42,2100000
2025-01-23,Search_Generic,8200,246,615000,28,1400000
2025-01-23,Display_Remarketing,12000,180,360000,21,1050000
2025-01-23,Social_Ads,15000,450,900000,54,2700000
2025-01-23,Video_Ads,20000,300,750000,34,1700000
2025-01-24,Search_Brand,5200,312,468000,42,2100000
2025-01-24,Search_Generic,8200,246,615000,28,1400000
2025-01-24,Display_Remarketing,12000,180,360000,21,1050000
2025-01-24,Social_Ads,15000,450,900000,54,2700000
2025-01-24,Video_Ads,20000,300,750000,34,1700000
2025-01-25,Search_Brand,5200,312,468000,42,2100000
2025-01-25,Search_Generic,8200,246,615000,28,1400000
2025-01-25,Display_Remarketing,12000,180,360000,21,1050000
2025-01-25,Social_Ads,15000,450,900000,54,2700000
2025-01-25,Video_Ads,20000,300,750000,34,1700000
2025-01-26,Search_Brand,5200,312,468000,42,2100000
2025-01-26,Search_Generic,8200,246,615000,28,1400000
2025-01-26,Display_Remarketing,12000,180,360000,21,1050000
2025-01-26,Social_Ads,15000,450,900000,54,2700000
2025-01-26,Video_Ads,20000,300,750000,34,1700000
2025-01-27,Search_Brand,5200,312,468000,42,2100000
2025-01-27,Search_Generic,8200,246,615000,28,1400000
2025-01-27,Display_Remarketing,12000,180,360000,21,1050000
2025-01-27,Social_Ads,15000,450,900000,54,2700000
2025-01-27,Video_Ads,20000,300,750000,34,1700000
2025-01-28,Search_Brand,5200,312,468000,42,2100000
2025-01-28,Search_Generic,8200,246,615000,28,1400000
2025-01-28,Display_Remarketing,12000,180,360000,21,1050000
2025-01-28,Social_Ads,15000,450,900000,54,2700000
2025-01-28,Video_Ads,20000,300,750000,34,1700000
2025-01-29,Search_Brand,5200,312,468000,42,2100000
2025-01-29,Search_Generic,8200,246,615000,28,1400000
2025-01-29,Display_Remarketing,12000,180,360000,21,1050000
2025-01-29,Social_Ads,15000,450,900000,54,2700000
2025-01-29,Video_Ads,20000,300,750000,34,1700000
2025-01-30,Search_Brand,5200,312,468000,42,2100000
2025-01-30,Search_Generic,8200,246,615000,28,1400000
2025-01-30,Display_Remarketing,12000,180,360000,21,1050000
2025-01-30,Social_Ads,15000,450,900000,54,2700000
2025-01-30,Video_Ads,20000,300,750000,34,1700000
2025-01-31,Search_Brand,5200,312,468000,42,2100000
2025-01-31,Search_Generic,8200,246,615000,28,1400000
2025-01-31,Display_Remarketing,12000,180,360000,21,1050000
2025-01-31,Social_Ads,15000,450,900000,54,2700000
2025-01-31,Video_Ads,20000,300,750000,34,1700000
2025-02-01,Search_Brand,5200,312,468000,42,2100000
2025-02-01,Search_Generic,8200,246,615000,28,1400000
2025-02-01,Display_Remarketing,12000,180,360000,21,1050000
2025-02-01,Social_Ads,15000,450,900000,54,2700000
2025-02-01,Video_Ads,20000,300,750000,34,1700000
2025-02-02,Search_Brand,5200,312,468000,42,2100000
2025-02-02,Search_Generic,8200,246,615000,28,1400000
2025-02-02,Display_Remarketing,12000,180,360000,21,1050000
2025-02-02,Social_Ads,15000,450,900000,54,2700000
2025-02-02,Video_Ads,20000,300,750000,34,1700000
2025-02-03,Search_Brand,5200,312,468000,42,2100000
2025-02-03,Search_Generic,8200,246,615000,28,1400000
2025-02-03,Display_Remarketing,12000,180,360000,21,1050000
2025-02-03,Social_Ads,15000,450,900000,54,2700000
2025-02-03,Video_Ads,20000,300,750000,34,1700000
2025-02-04,Search_Brand,5200,312,468000,42,2100000
2025-02-04,Search_Generic,8200,246,615000,28,1400000
2025-02-04,Display_Remarketing,12000,180,360000,21,1050000
2025-02-04,Social_Ads,15000,450,900000,54,2700000
2025-02-04,Video_Ads,20000,300,750000,34,1700000
2025-02-05,Search_Brand,5200,312,468000,42,2100000
2025-02-05,Search_Generic,8200,246,615000,28,1400000
2025-02-05,Display_Remarketing,12000,180,360000,21,1050000
2025-02-05,Social_Ads,15000,450,900000,54,2700000
2025-02-05,Video_Ads,20000,300,750000,34,1700000
2025-02-06,Search_Brand,5200,312,468000,42,2100000
2025-02-06,Search_Generic,8200,246,615000,28,1400000
2025-02-06,Display_Remarketing,12000,180,360000,21,1050000
2025-02-06,Social_Ads,15000,450,900000,54,2700000
2025-02-06,Video_Ads,20000,300,750000,34,1700000
2025-02-07,Search_Brand,5200,312,468000,42,2100000
2025-02-07,Search_Generic,8200,246,615000,28,1400000
2025-02-07,Display_Remarketing,12000,180,360000,21,1050000
2025-02-07,Social_Ads,15000,450,900000,54,2700000
2025-02-07,Video_Ads,20000,300,750000,34,1700000
2025-02-08,Search_Brand,5200,312,468000,42,2100000
2025-02-08,Search_Generic,8200,246,615000,28,1400000
2025-02-08,Display_Remarketing,12000,180,360000,21,1050000
2025-02-08,Social_Ads,15000,450,900000,54,2700000
2025-02-08,Video_Ads,20000,300,750000,34,1700000
2025-02-09,Search_Brand,5200,312,468000,42,2100000
2025-02-09,Search_Generic,8200,246,615000,28,1400000
2025-02-09,Display_Remarketing,12000,180,360000,21,1050000
2025-02-09,Social_Ads,15000,450,900000,54,2700000
2025-02-09,Video_Ads,20000,300,750000,34,1700000
2025-02-10,Search_Brand,5200,312,468000,42,2100000
2025-02-10,Search_Generic,8200,246,615000,28,1400000
2025-02-10,Display_Remarketing,12000,180,360000,21,1050000
2025-02-10,Social_Ads,15000,450,900000,54,2700000
2025-02-10,Video_Ads,20000,300,750000,34,1700000
2025-02-11,Search_Brand,5200,312,468000,42,2100000
2025-02-11,Search_Generic,8200,246,615000,28,1400000
2025-02-11,Display_Remarketing,12000,180,360000,21,1050000
2025-02-11,Social_Ads,15000,450,900000,54,2700000
2025-02-11,Video_Ads,20000,300,750000,34,1700000
2025-02-12,Search_Brand,5200,312,468000,42,2100000
2025-02-12,Search_Generic,8200,246,615000,28,1400000
2025-02-12,Display_Remarketing,12000,180,360000,21,1050000
2025-02-12,Social_Ads,15000,450,900000,54,2700000
2025-02-12,Video_Ads,20000,300,750000,34,1700000
2025-02-13,Search_Brand,5200,312,468000,42,2100000
2025-02-13,Search_Generic,8200,246,615000,28,1400000
2025-02-13,Display_Remarketing,12000,180,360000,21,1050000
2025-02-13,Social_Ads,15000,450,900000,54,2700000
2025-02-13,Video_Ads,20000,300,750000,34,1700000
2025-02-14,Search_Brand,5200,312,468000,42,2100000
2025-02-14,Search_Generic,8200,246,615000,28,1400000
2025-02-14,Display_Remarketing,12000,180,360000,21,1050000
2025-02-14,Social_Ads,15000,450,900000,54,2700000
2025-02-14,Video_Ads,20000,300,750000,34,1700000
2025-02-15,Search_Brand,5200,312,468000,42,2100000
2025-02-15,Search_Generic,8200,246,615000,28,1400000
2025-02-15,Display_Remarketing,12000,180,360000,21,1050000
2025-02-15,Social_Ads,15000,450,900000,54,2700000
2025-02-15,Video_Ads,20000,300,750000,34,1700000
2025-02-16,Search_Brand,5200,312,468000,42,2100000
2025-02-16,Search_Generic,8200,246,615000,28,1400000
2025-02-16,Display_Remarketing,12000,180,360000,21,1050000
2025-02-16,Social_Ads,15000,450,900000,54,2700000
2025-02-16,Video_Ads,20000,300,750000,34,1700000
2025-02-17,Search_Brand,5200,312,468000,42,2100000
2025-02-17,Search_Generic,8200,246,615000,28,1400000
2025-02-17,Display_Remarketing,12000,180,360000,21,1050000
2025-02-17,Social_Ads,15000,450,900000,54,2700000
2025-02-17,Video_Ads,20000,300,750000,34,1700000
2025-02-18,Search_Brand,5200,312,468000,42,2100000
2025-02-18,Search_Generic,8200,246,615000,28,1400000
2025-02-18,Display_Remarketing,12000,180,360000,21,1050000
2025-02-18,Social_Ads,15000,450,900000,54,2700000
2025-02-18,Video_Ads,20000,300,750000,34,1700000
2025-02-19,Search_Brand,5200,312,468000,42,2100000
2025-02-19,Search_Generic,8200,246,615000,28,1400000
2025-02-19,Display_Remarketing,12000,180,360000,21,1050000
2025-02-19,Social_Ads,15000,450,900000,54,2700000
2025-02-19,Video_Ads,20000,300,750000,34,1700000
2025-02-20,Search_Brand,5200,312,468000,42,2100000
2025-02-20,Search_Generic,8200,246,615000,28,1400000
2025-02-20,Display_Remarketing,12000,180,360000,21,1050000
2025-02-20,Social_Ads,15000,450,900000,54,2700000
2025-02-20,Video_Ads,20000,300,750000,34,1700000
2025-02-21,Search_Brand,5200,312,468000,42,2100000
2025-02-21,Search_Generic,8200,246,615000,28,1400000
2025-02-21,Display_Remarketing,12000,180,360000,21,1050000
2025-02-21,Social_Ads,15000,450,900000,54,2700000
2025-02-21,Video_Ads,20000,300,750000,34,1700000
2025-02-22,Search_Brand,5200,312,468000,42,2100000
2025-02-22,Search_Generic,8200,246,615000,28,1400000
2025-02-22,Display_Remarketing,12000,180,360000,21,1050000
2025-02-22,Social_Ads,15000,450,900000,54,2700000
2025-02-22,Video_Ads,20000,300,750000,34,1700000
2025-02-23,Search_Brand,5200,312,468000,42,2100000
2025-02-23,Search_Generic,8200,246,615000,28,1400000
2025-02-23,Display_Remarketing,12000,180,360000,21,1050000
2025-02-23,Social_Ads,15000,450,900000,54,2700000
2025-02-23,Video_Ads,20000,300,750000,34,1700000
2025-02-24,Search_Brand,5200,312,468000,42,2100000
2025-02-24,Search_Generic,8200,246,615000,28,1400000
2025-02-24,Display_Remarketing,12000,180,360000,21,1050000
2025-02-24,Social_Ads,15000,450,900000,54,2700000
2025-02-24,Video_Ads,20000,300,750000,34,1700000
2025-02-25,Search_Brand,5200,312,468000,42,2100000
2025-02-25,Search_Generic,8200,246,615000,28,1400000
2025-02-25,Display_Remarketing,12000,180,360000,21,1050000
2025-02-25,Social_Ads,15000,450,900000,54,2700000
2025-02-25,Video_Ads,20000,300,750000,34,1700000
2025-02-26,Search_Brand,5200,312,468000,42,2100000
2025-02-26,Search_Generic,8200,246,615000,28,1400000
2025-02-26,Display_Remarketing,12000,180,360000,21,1050000
2025-02-26,Social_Ads,15000,450,900000,54,2700000
2025-02-26,Video_Ads,20000,300,750000,34,1700000
2025-02-27,Search_Brand,5200,312,468000,42,2100000
2025-02-27,Search_Generic,8200,246,615000,28,1400000
2025-02-27,Display_Remarketing,12000,180,360000,21,1050000
2025-02-27,Social_Ads,15000,450,900000,54,2700000
2025-02-27,Video_Ads,20000,300,750000,34,1700000
2025-02-28,Search_Brand,5200,312,468000,42,2100000
2025-02-28,Search_Generic,8200,246,615000,28,1400000
2025-02-28,Display_Remarketing,12000,180,360000,21,1050000
2025-02-28,Social_Ads,15000,450,900000,54,2700000
2025-02-28,Video_Ads,20000,300,750000,34,1700000
2025-03-01,Search_Brand,5200,312,468000,42,2100000
2025-03-01,Search_Generic,8200,246,615000,28,1400000
2025-03-01,Display_Remarketing,12000,180,360000,21,1050000
2025-03-01,Social_Ads,15000,450,900000,54,2700000
2025-03-01,Video_Ads,20000,300,750000,34,1700000
2025-03-02,Search_Brand,5200,312,468000,42,2100000
2025-03-02,Search_Generic,8200,246,615000,28,1400000
2025-03-02,Display_Remarketing,12000,180,360000,21,1050000
2025-03-02,Social_Ads,15000,450,900000,54,2700000
2025-03-02,Video_Ads,20000,300,750000,34,1700000
2025-03-03,Search_Brand,5200,312,468000,42,2100000
2025-03-03,Search_Generic,8200,246,615000,28,1400000
2025-03-03,Display_Remarketing,12000,180,360000,21,1050000
2025-03-03,Social_Ads,15000,450,900000,54,2700000
2025-03-03,Video_Ads,20000,300,750000,34,1700000
2025-03-04,Search_Brand,5200,312,468000,42,2100000
2025-03-04,Search_Generic,8200,246,615000,28,1400000
2025-03-04,Display_Remarketing,12000,180,360000,21,1050000
2025-03-04,Social_Ads,15000,450,900000,54,2700000
2025-03-04,Video_Ads,20000,300,750000,34,1700000
2025-03-05,Search_Brand,5200,312,468000,42,2100000
2025-03-05,Search_Generic,8200,246,615000,28,1400000
2025-03-05,Display_Remarketing,12000,180,360000,21,1050000
2025-03-05,Social_Ads,15000,450,900000,54,2700000
2025-03-05,Video_Ads,20000,300,750000,34,1700000
2025-03-06,Search_Brand,5200,312,468000,42,2100000
2025-03-06,Search_Generic,8200,246,615000,28,1400000
2025-03-06,Display_Remarketing,12000,180,360000,21,1050000
2025-03-06,Social_Ads,15000,450,900000,54,2700000
2025-03-06,Video_Ads,20000,300,750000,34,1700000
2025-03-07,Search_Brand,5200,312,468000,42,2100000
2025-03-07,Search_Generic,8200,246,615000,28,1400000
2025-03-07,Display_Remarketing,12000,180,360000,21,1050000
2025-03-07,Social_Ads,15000,450,900000,54,2700000
2025-03-07,Video_Ads,20000,300,750000,34,1700000
2025-03-08,Search_Brand,5200,312,468000,42,2100000
2025-03-08,Search_Generic,8200,246,615000,28,1400000
2025-03-08,Display_Remarketing,12000,180,360000,21,1050000
2025-03-08,Social_Ads,15000,450,900000,54,2700000
2025-03-08,Video_Ads,20000,300,750000,34,1700000
2025-03-09,Search_Brand,5200,312,468000,42,2100000
2025-03-09,Search_Generic,8200,246,615000,28,1400000
2025-03-09,Display_Remarketing,12000,180,360000,21,1050000
2025-03-09,Social_Ads,15000,450,900000,54,2700000
2025-03-09,Video_Ads,20000,300,750000,34,1700000
2025-03-10,Search_Brand,5200,312,468000,42,2100000
2025-03-10,Search_Generic,8200,246,615000,28,1400000
2025-03-10,Display_Remarketing,12000,180,360000,21,1050000
2025-03-10,Social_Ads,15000,450,900000,54,2700000
2025-03-10,Video_Ads,20000,300,750000,34,1700000
2025-03-11,Search_Brand,5200,312,468000,42,2100000
2025-03-11,Search_Generic,8200,246,615000,28,1400000
2025-03-11,Display_Remarketing,12000,180,360000,21,1050000
2025-03-11,Social_Ads,15000,450,900000,54,2700000
2025-03-11,Video_Ads,20000,300,750000,34,1700000
2025-03-12,Search_Brand,5200,312,468000,42,2100000
2025-03-12,Search_Generic,8200,246,615000,28,1400000
2025-03-12,Display_Remarketing,12000,180,360000,21,1050000
2025-03-12,Social_Ads,15000,450,900000,54,2700000
2025-03-12,Video_Ads,20000,300,750000,34,1700000
2025-03-13,Search_Brand,5200,312,468000,42,2100000
2025-03-13,Search_Generic,8200,246,615000,28,1400000
2025-03-13,Display_Remarketing,12000,180,360000,21,1050000
2025-03-13,Social_Ads,15000,450,900000,54,2700000
2025-03-13,Video_Ads,20000,300,750000,34,1700000
2025-03-14,Search_Brand,5200,312,468000,42,2100000
2025-03-14,Search_Generic,8200,246,615000,28,1400000
2025-03-14,Display_Remarketing,12000,180,360000,21,1050000
2025-03-14,Social_Ads,15000,450,900000,54,2700000
2025-03-14,Video_Ads,20000,300,750000,34,1700000
2025-03-15,Search_Brand,5200,312,468000,42,2100000
2025-03-15,Search_Generic,8200,246,615000,28,1400000
2025-03-15,Display_Remarketing,12000,180,360000,21,1050000
2025-03-15,Social_Ads,15000,450,900000,54,2700000
2025-03-15,Video_Ads,20000,300,750000,34,1700000
2025-03-16,Search_Brand,5200,312,468000,42,2100000
2025-03-16,Search_Generic,8200,246,615000,28,1400000
2025-03-16,Display_Remarketing,12000,180,360000,21,1050000
2025-03-16,Social_Ads,15000,450,900000,54,2700000
2025-03-16,Video_Ads,20000,300,750000,34,1700000
2025-03-17,Search_Brand,5200,312,468000,42,2100000
2025-03-17,Search_Generic,8200,246,615000,28,1400000
2025-03-17,Display_Remarketing,12000,180,360000,21,1050000
2025-03-17,Social_Ads,15000,450,900000,54,2700000
2025-03-17,Video_Ads,20000,300,750000,34,1700000
2025-03-18,Search_Brand,5200,312,468000,42,2100000
2025-03-18,Search_Generic,8200,246,615000,28,1400000
2025-03-18,Display_Remarketing,12000,180,360000,21,1050000
2025-03-18,Social_Ads,15000,450,900000,54,2700000
2025-03-18,Video_Ads,20000,300,750000,34,1700000
2025-03-19,Search_Brand,5200,312,468000,42,2100000
2025-03-19,Search_Generic,8200,246,615000,28,1400000
2025-03-19,Display_Remarketing,12000,180,360000,21,1050000
2025-03-19,Social_Ads,15000,450,900000,54,2700000
2025-03-19,Video_Ads,20000,300,750000,34,1700000
2025-03-20,Search_Brand,5200,312,468000,42,2100000
2025-03-20,Search_Generic,8200,246,615000,28,1400000
2025-03-20,Display_Remarketing,12000,180,360000,21,1050000
2025-03-20,Social_Ads,15000,450,900000,54,2700000
2025-03-20,Video_Ads,20000,300,750000,34,1700000
2025-03-21,Search_Brand,5200,312,468000,42,2100000
2025-03-21,Search_Generic,8200,246,615000,28,1400000
2025-03-21,Display_Remarketing,12000,180,360000,21,1050000
2025-03-21,Social_Ads,15000,450,900000,54,2700000
2025-03-21,Video_Ads,20000,300,750000,34,1700000
2025-03-22,Search_Brand,5200,312,468000,42,2100000
2025-03-22,Search_Generic,8200,246,615000,28,1400000
2025-03-22,Display_Remarketing,12000,180,360000,21,1050000
2025-03-22,Social_Ads,15000,450,900000,54,2700000
2025-03-22,Video_Ads,20000,300,750000,34,1700000
2025-03-23,Search_Brand,5200,312,468000,42,2100000
2025-03-23,Search_Generic,8200,246,615000,28,1400000
2025-03-23,Display_Remarketing,12000,180,360000,21,1050000
2025-03-23,Social_Ads,15000,450,900000,54,2700000
2025-03-23,Video_Ads,20000,300,750000,34,1700000
2025-03-24,Search_Brand,5200,312,468000,42,2100000
2025-03-24,Search_Generic,8200,246,615000,28,1400000
2025-03-24,Display_Remarketing,12000,180,360000,21,1050000
2025-03-24,Social_Ads,15000,450,900000,54,2700000
2025-03-24,Video_Ads,20000,300,750000,34,1700000
2025-03-25,Search_Brand,5200,312,468000,42,2100000
2025-03-25,Search_Generic,8200,246,615000,28,1400000
2025-03-25,Display_Remarketing,12000,180,360000,21,1050000
2025-03-25,Social_Ads,15000,450,900000,54,2700000
2025-03-25,Video_Ads,20000,300,750000,34,1700000
2025-03-26,Search_Brand,5200,312,468000,42,2100000
2025-03-26,Search_Generic,8200,246,615000,28,1400000
2025-03-26,Display_Remarketing,12000,180,360000,21,1050000
2025-03-26,Social_Ads,15000,450,900000,54,2700000
2025-03-26,Video_Ads,20000,300,750000,34,1700000
2025-03-27,Search_Brand,5200,312,468000,42,2100000
2025-03-27,Search_Generic,8200,246,615000,28,1400000
2025-03-27,Display_Remarketing,12000,180,360000,21,1050000
2025-03-27,Social_Ads,15000,450,900000,54,2700000
2025-03-27,Video_Ads,20000,300,750000,34,1700000
2025-03-28,Search_Brand,5200,312,468000,42,2100000
2025-03-28,Search_Generic,8200,246,615000,28,1400000
2025-03-28,Display_Remarketing,12000,180,360000,21,1050000
2025-03-28,Social_Ads,15000,450,900000,54,2700000
2025-03-28,Video_Ads,20000,300,750000,34,1700000
2025-03-29,Search_Brand,5200,312,468000,42,2100000
2025-03-29,Search_Generic,8200,246,615000,28,1400000
2025-03-29,Display_Remarketing,12000,180,360000,21,1050000
2025-03-29,Social_Ads,15000,450,900000,54,2700000
2025-03-29,Video_Ads,20000,300,750000,34,1700000
2025-03-30,Search_Brand,5200,312,468000,42,2100000
2025-03-30,Search_Generic,8200,246,615000,28,1400000
2025-03-30,Display_Remarketing,12000,180,360000,21,1050000
2025-03-30,Social_Ads,15000,450,900000,54,2700000
2025-03-30,Video_Ads,20000,300,750000,34,1700000
2025-03-31,Search_Brand,5200,312,468000,42,2100000
2025-03-31,Search_Generic,8200,246,615000,28,1400000
2025-03-31,Display_Remarketing,12000,180,360000,21,1050000
2025-03-31,Social_Ads,15000,450,900000,54,2700000
2025-03-31,Video_Ads,20000,300,750000,34,1700000
2025-04-01,Search_Brand,5200,312,468000,42,2100000
2025-04-01,Search_Generic,8200,246,615000,28,1400000
2025-04-01,Display_Remarketing,12000,180,360000,21,1050000
2025-04-01,Social_Ads,15000,450,900000,54,2700000
2025-04-01,Video_Ads,20000,300,750000,34,1700000
2025-04-02,Search_Brand,5200,312,468000,42,2100000
2025-04-02,Search_Generic,8200,246,615000,28,1400000
2025-04-02,Display_Remarketing,12000,180,360000,21,1050000
2025-04-02,Social_Ads,15000,450,900000,54,2700000
2025-04-02,Video_Ads,20000,300,750000,34,1700000
2025-04-03,Search_Brand,5200,312,468000,42,2100000
2025-04-03,Search_Generic,8200,246,615000,28,1400000
2025-04-03,Display_Remarketing,12000,180,360000,21,1050000
2025-04-03,Social_Ads,15000,450,900000,54,2700000
2025-04-03,Video_Ads,20000,300,750000,34,1700000
2025-04-04,Search_Brand,5200,312,468000,42,2100000
2025-04-04,Search_Generic,8200,246,615000,28,1400000
2025-04-04,Display_Remarketing,12000,180,360000,21,1050000
2025-04-04,Social_Ads,15000,450,900000,54,2700000
2025-04-04,Video_Ads,20000,300,750000,34,1700000
2025-04-05,Search_Brand,5200,312,468000,42,2100000
2025-04-05,Search_Generic,8200,246,615000,28,1400000
2025-04-05,Display_Remarketing,12000,180,360000,21,1050000
2025-04-05,Social_Ads,15000,450,900000,54,2700000
2025-04-05,Video_Ads,20000,300,750000,34,1700000
2025-04-06,Search_Brand,5200,312,468000,42,2100000
2025-04-06,Search_Generic,8200,246,615000,28,1400000
2025-04-06,Display_Remarketing,12000,180,360000,21,1050000
2025-04-06,Social_Ads,15000,450,900000,54,2700000
2025-04-06,Video_Ads,20000,300,750000,34,1700000
2025-04-07,Search_Brand,5200,312,468000,42,2100000
2025-04-07,Search_Generic,8200,246,615000,28,1400000
2025-04-07,Display_Remarketing,12000,180,360000,21,1050000
2025-04-07,Social_Ads,15000,450,900000,54,2700000
2025-04-07,Video_Ads,20000,300,750000,34,1700000
2025-04-08,Search_Brand,5200,312,468000,42,2100000
2025-04-08,Search_Generic,8200,246,615000,28,1400000
2025-04-08,Display_Remarketing,12000,180,360000,21,1050000
2025-04-08,Social_Ads,15000,450,900000,54,2700000
2025-04-08,Video_Ads,20000,300,750000,34,1700000
2025-04-09,Search_Brand,5200,312,468000,42,2100000
